Brand,Paddle Name,Price,Year Released,Approval Body,Shape,Face Material,Grit Type,Build Style,Paddle Type,Core Thickness (mm),Grip Length (in),Grip Size (in),Weight (oz),Swingweight,Swingweight Percentile,Twistweight,Twistweight Percentile,Balance Point (mm),Spin Rating,Spin (RPM),Power (MPH),Power Percentile,Pop (MPH),Pop Percentile,Firepower Percentile,Firepower Z,Firepower Z Tier
11SIX24,All Court Hurache-X,$149.99 ,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1.5,All-Court,16,6,4.125,8.18,121,86%,6.33,49%,245,Very High,2027,55.7,42%,36,41%,41%,53,Firepower Balanced
11SIX24,All Court Pegasus,$129.99 ,2025,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 1.5,All-Court,16,5.5,4.125,8.2,113,36%,7.26,95%,237,Very High,2032,55.2,29%,35.5,23%,26%,42,Firepower Control+
11SIX24,All Court Vapor,$129.99 ,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 1.5,All-Court,16,5.75,4.125,8.16,117,64%,6.8,79%,241,Very High,2059,55.3,32%,35.4,20%,26%,43,Firepower Control+
11SIX24,Alpha Pro Power Hurache-X,$199.99 ,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,6,4.125,8.1,118,71%,6.29,45%,238,,,,,,,,,
11SIX24,Alpha Pro Power Pegasus,$199.99 ,2025,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.5,4.125,8,107,6%,7.12,91%,229,,,,,,,,,
11SIX24,Alpha Pro Power Vapor,$199.99 ,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.75,4.125,8,112,29%,6.76,77%,236,,,,,,,,,
11SIX24,Jelly Bean Hurache-X,$99.99 ,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1.5,Control,16,6,4.125,8.14,122,89%,6.36,51%,242,,,,,,,,,
11SIX24,Jelly Bean Vapor,$99.99 ,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 1.5,Control,16,5.75,4.125,8,115,50%,6.67,71%,240,,,,,,,,,
11SIX24,Power 2 Hurache X,$209.99 ,2026,UPA-A,Elongated,,Durable Texture,Gen 4,Power,16,5.75,4.125,8,117,64%,6.12,32%,241,Very High,2092,57,93%,36.9,85%,89%,76,Firepower High
11SIX24,Power 2 Pegasus,$209.99 ,2026,UPA-A,Widebody,,Durable Texture,Gen 4,Power,16,6,4.125,8.1,110,17%,7.23,94%,236,Very High,2109,56.9,90%,36.6,71%,81%,73,Firepower High
11SIX24,Power 2 Vapor,$209.99 ,2026,UPA-A,Hybrid,,Durable Texture,Gen 4,Power,16,5.75,4.125,7.92,111,23%,6.7,74%,236,Very High,2139,56.7,84%,36.9,85%,85%,72,Firepower High
11SIX24,Power Hurache-X,$169.99 ,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,6,4.125,8.15,117,64%,6.4,53%,240,Very High,2033,56.3,68%,36,41%,54%,61,Firepower Balanced
